paper_id,title,abstract,back_matter,names,affiliations
215d86822474f970baa8ed894e23940bc4a85c79,Molecular detection of infectious bronchitis and Newcastle disease viruses in broiler chickens with respiratory signs using Duplex RT-PCR,"Infectious bronchitis (IB) and Newcastle disease (ND) are highly contagious and the most economically important diseases of the poultry affecting respiratory tract and causing economic losses in poultry industry throughout the world. In the present study, the simultaneous detection and differentiation of causative agents of these diseases were investigated using duplex-RT-PCR. RNA was extracted from vaccinal and reference strains of infectious bronchitis virus (IBV) and Newcastle disease virus (NDV) and then cDNA was synthesized. Using two universal primer sets for detection of IBV and NDV, the duplex-RT-PCR was developed. In order to assess the efficiency of the developed duplex RT-PCR, a number of 12 broiler farms with the symptoms of respiratory tract infection was sampled (trachea, lung and kidney were sampled from affected birds suspicious for IBV and NDV infections). After RNA extraction from tissues and cDNA synthesis, the presence of IBV and NDV genome were investigated using duplex-PCR. The results showed that three of twelve examined broiler farms were positive for IBV and two farms were positive for NDV and IBV. The results revealed that the duplex-RT-PCR is a quick and sensitive procedure for simultaneously detecting IBV and NDV in birds with respiratory infections.",This research was supported by the Research Council of Urmia University. We thank Dr. Heman Aminzadeh for her technical assistance.,"[' Short', ' Communication']",['University of Tehran']
c9708301ac6326b1214f31ab93fcd4b72485cf4b,"Oncotarget, Vol. 6, No. 1 GCN5 inhibits XBP-1S-mediated transcription by antagonizing PCAF action",", the active isoform of X-box binding protein 1 (XBP-1), is a key regulator of UPR. Previously, we showed that a histone acetyltransferase (HAT), p300/CBP-associated factor (PCAF), binds to XBP-1S and functions as an activator of XBP-1S. Here, we identify general control nonderepressible 5 (GCN5), a HAT with 73% identity to PCAF, as a novel XBP-1S regulator. Both PCAF and GCN5 bind to the same domain of XBP-1S. Surprisingly, GCN5 potently blocks the XBP-1Smediated transcription, including cellular UPR genes and latent membrane protein 1 of Epstein-Barr virus. Unlike PCAF, GCN5 acetylates XBP-1S and enhances nuclear retention and protein stability of XBP-1S. However, such GCN5-mediated acetylation of XBP-1S shows no effects on XBP-1S activity. In addition, the HAT activity of GCN5 is not required for repression of XBP-1S target genes. We further demonstrate that GCN5 inhibits XBP-1S-mediated transcription by disrupting the PCAF-XBP-1S interaction and preventing the recruitment of XBP-1S to its target genes. Taken together, our results represent the first work demonstrating that GCN5 and PCAF exhibit different functions and antagonistically regulate the XBP-1S-mediated transcription.","We would like to thank Drs. Kazutoshi Mori, Hiderou Yoshida, and Arnold Rabson for providing the expression and reporter plasmids, and Dr. Yuansheng Yang for critical review of the manuscript. This work was supported by the Agency for Science, Technology ","['Qiao Lew', 'Kai Chu', 'Yi Chia', 'Benjamin Soo', 'Jia Ho', 'Har Chew', ' Ng', 'Hui Kwok', 'Cheng-Ming Chiang', 'Yao Chang', 'Sheng-Hao Chao']","['National Health Research Institutes', 'Bioprocessing Technology Institute', 'Harry Hines Boulevard']"
ad4f830c6a0985b878a66d4e797232ccba91aedc,Targeting a ribonucleoprotein complex containing the caprin-1 protein and the c-Myc mRNA suppresses tumor growth in mice: an identification of a novel oncotarget,"Tylophorine derivatives exhibit anti-cancer activities but their cellular targets remain unknown. We used a biotinylated tylophorine derivative to probe for the interacting cellular target(s) of tylophorine. Tylophorine directly binds to caprin-1 and consequently enhances the recruitment of G3BP1, c-Myc mRNA, and cyclin D2 mRNA to form a ribonucleoprotein complex. Subsequently, this tylophorine targeted ribonucleoprotein complex is sequestered to the polysomal fractions and the protein expressions of the associated mRNA-transcripts are repressed. Caprin-1 depleted carcinoma cells become more resistant to tylophorine, associated with decreased formation of the ribonucleoprotein complex targeted by tylophorine. Consequently, tylophorine downregulates c-Myc and cyclins D1/D2, causing hypophosphorylation of Rb and suppression of both processing-body formation and the Warburg effect. Gene expression profiling and gain-of-c-Myc-function experiments also revealed that the downregulated c-Myc contributes to the anti-oncogenic effects of tylophorine compounds. Furthermore, the potent tylophorine derivative dibenzoquinoline-33b elicited a similar effect, as c-Myc protein levels were also decreased in xenograft tumors treated with dibenzoquinoline-33b. Thus, tylophorine compounds exert anticancer activity predominantly by targeting and sequestering the caprin-1 protein and c-Myc mRNA associated ribonucleoprotein complex.","www.impactjournals.com/oncotarget to the manufacturers' protocols. At 24 h after transfection, the HONE-1 cells were treated with either the vehicle control (0.1% DMSO) or 0.2 to 2 µM tylophorine for an additional 24 h. The cells were then harvested in lysis buffer as described above prior to immunoblot analyses.","['Ya-Qi Qiu', 'Cheng-Wei Yang', 'Yue-Zhi Lee', 'Ruey-Bing Yang', 'Chih-Hao Lee', 'Hsing-Yu Hsu', 'Chien-Chung Chang', 'Shiow-Ju Lee']","['National Health Research Institutes', 'Academia Sinica', 'National Tsing Hua University', 'Harvard School of Public Health']"
5dee0488f20951e191da1c58d425a28eda883f49,A Bibliometric Analysis of Publications on Pluripotent Stem Cell Research,Objective: Human pluripotent stem cells are self-renewing cells with the ability to dif,There is no foundation to support this study. The authors declare no potential conflicts of interest.,"['Changshuan Lin', 'Yuh-Shan Ho']","['Asia University', 'Changshuan L. Lin Consulting, LLC']"
e4bc8603739ef592b4ce5c2a3b92abd82a2a13ef,Preparation and Antibacterial Activity Evaluation of 18-β-glycyrrhetinic Acid Loaded PLGA Nanoparticles,"The aim of the present study was to formulate poly (lactide-co-glycolide) (PLGA) nanoparticles loaded with 18-β-glycyrrhetinic acid (GLA) with appropriate physicochemical properties and antimicrobial activity. GLA loaded PLGA nanoparticles were prepared with different drug to polymer ratios, acetone contents and sonication times and the antibacterial activity of the developed nanoparticles was examined against different gram-negative and gram-positive bacteria. The antibacterial effect was studied using serial dilution technique to determine the minimum inhibitory concentration of nanoparticles. Results demonstrated that physicochemical properties of nanoparticles were affected by the above mentioned parameters where nanoscale size particles ranging from 175 to 212 nm were achieved. The highest encapsulation efficiency (53.2 ± 2.4%) was obtained when the ratio of drug to polymer was 1:4. Zeta potential of the developed nanoparticles was fairly negative (-11±1.5). In-vitro release profile of nanoparticles showed two phases: an initial phase of burst release for 10 h followed by a slow release pattern up to the end. The antimicrobial results revealed that the nanoparticles were more effective than pure GLA against P. aeuroginosa, S. aureus and S. epidermidis. This improvement in antibacterial activity of GLA loaded nanoparticles when compared to pure GLA may be related to higher nanoparticles penetration into infected cells and a higher amount of GLA delivery in its site of action. Herein, it was shown that GLA loaded PLGA nanoparticles displayed appropriate physicochemical properties as well as an improved antimicrobial effect.",This work was financially supported by a grant from Tehran University of Medical Sciences.,"['Behrad Darvishi', 'Saeed Manoochehri', 'Golnaz Kamalinia', 'Nasrin Samadi', 'Mohsen Amini', 'Seyyed Mostafavi', 'Shahab Maghazei', 'Fatemeh Atyabi', 'Rassoul Dinarvand']",['Tehran University of Medical Sciences']
aecb440fc8c84846d96359ffd450f3e24a00cdca,Redox process is crucial for inhibitory properties of aurintricarboxylic acid against activity of YopH: virulence factor of Yersinia pestis,"YopH is a bacterial protein tyrosine phosphatase, which is essential for the viability and pathogenic virulence of the plague-causing Yersinia sp. bacteria. Inactivation of YopH activity would lead to the loss of bacterial pathogenicity. We have studied the inhibitory properties of aurintricarboxylic acid (ATA) against YopH phosphatase and found that at nanomolar concentrations ATA reversibly decreases the activity of YopH. Computational docking studies indicated that in all binding poses ATA binds in the YopH active site. Molecular dynamics simulations showed that in the predicted binding pose, ATA binds to the essential Cys403 and Arg409 residues in the active site and has a stronger binding affinity than the natural substrate (pTyr). The cyclic voltammetry experiments suggest that ATA reacts remarkably strongly with molecular oxygen. Additionally, the electrochemical reduction of ATA in the presence of a negative potential from -2.0 to 2.5 V generates a current signal, which is observed for hydrogen peroxide. Here we showed that ATA indicates a unique mechanism of YopH inactivation due to a redox process. We proposed that the potent inhibitory properties of ATA are a result of its strong binding in the YopH active site and in situ generation of hydrogen peroxide near catalytic cysteine residue.",The authors declare no conflicts of interest.,"['Alicja Kuban-Jankowska', 'Kamlesh Sahu', 'Pawel Niedzialkowski', 'Magdalena Gorska', 'Jack Tuszynski', 'Tadeusz Ossowski', 'Michal Wozniak']","['University of Alberta', 'Medical University of Gdansk', 'University of Gdansk']"
26e8ef0fab0bc606adadae018a73d8490c8e1cd5,Knock out of the BASIGIN/CD147 chaperone of lactate/H + symporters disproves its pro-tumour action via extracellular matrix metalloproteases (MMPs) induction,"BASIGIN/CD147/EMMPRIN is a multifunctional transmembrane glycoprotein strongly expressed in tumours. BASIGIN controls tumour metabolism, particularly glycolysis by facilitating lactic acid export through the two monocarboxylate transporters MCT1 and hypoxia-inducible MCT4. However, before being recognized as a co-carrier of MCTs, BASIGIN was described as an inducer of extracellular matrix metalloproteases (MMPs). Early on, a model emerged in which, tumour cells use the extracellular domain of BASIGIN to recognize and stimulate neighbouring fibroblasts to produce MMPs. However, this model has remained hypothetical since a direct link between BASIGIN and MMPs production has not yet been clearly established. To validate the BASIGIN/MMP hypothesis, we developed BASIGIN knockouts in three human tumour cell lines derived from glioma, colon, and lung adenocarcinoma. By","The team was funded from Ligue Nationale Contre le Cancer (Equipe labellisée LNCC), Fondation ARC, INCa, ANR, the EU-FP7 ""METOXIA"", SERVIER-CNRS, and Centre Lacassagne. IM received a fellowship from LNCC. We thank Dr. Scott Kenneth Parks for editorial correction of the manuscript.","['Ibtissam Marchiq', 'Jean Albrengues', 'Sara Granja', 'Cédric Gaggioli', 'Jacques Pouysségur', 'Marie-Pierre Simon', 'Antoine Lacassagne']","['University of Minho', 'University of Nice Sophia Antipolis']"
8e014e2133b319d93ba7e9341ffe33bab3f9e265,A HLA-A2-restricted CTL epitope induces anti-tumor effects against human lung cancer in mouse xenograft model,"cancer xenograft models. The tumor associated antigen L6 (TAL6) is highly expressed in human lung cancer cell lines and tumor specimens as compared to normal lung tissues. TAL6 derived peptides strongly inhibited tumor growth, cancer metastasis and prolonged survival time in HLA-A2 transgenic mice immunized with a formulation of T-helper (Th) peptide, synthetic CpG ODN, and adjuvant Montanide ISA-51 (ISA-51). Adoptive transfer of peptide-induced CTL cells from HLA-A2 transgenic mice into human tumor xenograft SCID mice significantly inhibited tumor growth. Furthermore, combination of CTL-peptide immunotherapy and gemcitabine additively improved the therapeutic effects. This pre-clinical evaluation model provides a useful platform to develop efficient immunotherapeutic drugs to treat lung cancer and demonstrates a promising strategy with benefit of antitumor immune responses worthy of further development in clinical trials.","We thank Dr. Show-Li Chen (National Taiwan University, Taiwan) for supplying HLA-A2 Tg mice. ","['Yuh-Pyng Sher', 'Su-I Lin', 'I-Hua Chen', 'Hsin-Yu Liu', 'Chen-Yuan Lin', 'I-Ping Chiang', 'Steve Roffler', 'Hsin-Wei Chen', 'Shih-Jen Liu']","['National Health Research Institutes', 'China Medical University', 'Academia Sinica', 'China Medical University Hospital']"
786da349a33148e24e09edd6378da80ea2f40e07,Common variations in TERT-CLPTM1L locus are reproducibly associated with the risk of nasopharyngeal carcinoma in Chinese populations,"Associations between single nucleotide polymorphisms (SNPs) at 5p15 (TERT-CLPTM1L) and multiple cancer types have been reported. We examined whether polymorphisms in the TERT-CLPTM1L locus were related to the risk of developing nasopharyngeal carcinoma (NPC) among Chinese populations. In the first stage, 26 tag SNPs were genotyped in a Guangxi population (855 patients and 1036 controls). In the second stage, the SNPs, which showed significant association, were further genotyped in a Guangdong population (997 patients and 972 controls). Functional analyses were conducted to verify the biological relevance of the associated polymorphism. In the 1st stage, four SNPs (rs2736098, rs2735845, rs402710, and rs401681) were significantly associated with the risk of developing NPC. After the 2nd stage validation, rs2735845 and rs401681 were independently associated with the risk of developing NPC in the additive model (rs2735845, OR = 1.19, 95% CI = 1.04-1.37, P = 0.011; rs401681, OR = 0.85, 95% CI = 0.74-0.99, P = 0.034). Furthermore, we observed higher CLPTM1L messenger RNA levels in fetal mesenchymal stem cells from the rs2735845 G allele carriers compared with that from non-carriers. In addition, using an immunohistochemistry assay, we observed higher TERT and CLPTM1L levels in NPC tissues compared with that in non-cancerous nasopharyngeal tissues. Our findings suggest that polymorphisms in the TERT-CLPTM1L locus may play a role in mediating the susceptibility to NPC in Chinese populations.","We thank all of the tested individuals, their families, and the collaborating clinicians for their participation. ","['Yang Zhang', 'Xiaoai Zhang', 'Hongxing Zhang', 'Yun Zhai', 'Zhifu Wang', 'Peiyao Li', 'Lixia Yu', 'Xia Xia', 'Ying Zhang', 'Yixin Zeng', 'Fuchu He', 'Gangqiao Zhou']",['']
73c97b301049429f21da128565e117ee1d368046,Brain on FIRES: Super Refractory Seizure in a 7 yr Old Boy,"We present a 7 yr old boy afflicted with super-refractory seizure that responded poorly to antiepileptic drugs and sustained a long course of hospitalization and complications of high doses of medications as well as longstanding stay in hospital. The differential diagnoses were, fever-induced refractory epileptic encephalopathy (FIRES), and infectious and autoimmune encephalitis. However, work-ups had not revealed any evidence of any specific diagnosis, so we assumed that he was afflicted by viral infectious encephalitis as he had, fever, vomiting, and prodromal symptoms of infectious (most probably viral) disease prior to onset of the seizure attacks.",All authors agreed to be accountable for all aspects of the work in ensuring that questions related to the accuracy or integrity of any part of the work are appropriately investigated and resolved. Conflict of interest: Non-declared,['Tavasoli '],['Tehran University of Medical Sciences']
