topic,cluster
protein,4
health,6
vaccine,1
protein,4
cell,2
protein,4
vaccine,1
patient,3
patient,3
patient,3
vaccine,1
patient,3
vaccine,1
cell,2
cell,2
patient,4
protein,2
sample,5
health,6
health,6
vaccine,1
health,6
patient,3
protein,2
patient,3
health,6
protein,1
protein,4
vaccine,1
drug,0
protein,4
health,6
protein,4
protein,4
drug,0
health,6
sample,5
patient,3
sample,5
cell,2
protein,4
cell,2
sample,5
protein,4
drug,0
sample,5
health,6
protein,4
sample,5
vaccine,6
health,6
vaccine,1
patient,0
protein,4
protein,4
patient,3
patient,0
drug,0
vaccine,1
vaccine,1
protein,0
sample,5
vaccine,1
vaccine,6
health,6
vaccine,1
protein,5
cell,2
health,6
sample,5
health,6
patient,1
health,6
patient,3
drug,0
health,6
patient,3
protein,4
drug,1
protein,1
protein,4
vaccine,1
sample,5
cell,2
health,6
patient,3
patient,3
health,6
patient,3
patient,3
sample,3
sample,5
protein,4
cell,2
patient,3
sample,5
protein,4
sample,5
protein,1
protein,4
protein,2
sample,3
health,6
health,6
health,6
vaccine,1
cell,2
sample,5
protein,4
sample,5
health,6
cell,2
sample,5
protein,4
protein,4
health,6
drug,0
patient,3
protein,4
cell,2
patient,2
protein,4
sample,1
health,6
patient,3
patient,3
health,6
protein,4
vaccine,1
protein,4
protein,4
cell,2
protein,4
health,6
protein,4
sample,5
protein,4
sample,3
sample,5
protein,4
protein,4
drug,0
protein,4
cell,2
patient,3
cell,2
vaccine,1
vaccine,1
cell,2
vaccine,1
drug,0
vaccine,1
sample,3
protein,4
cell,0
health,3
health,6
sample,3
health,6
protein,4
sample,5
sample,5
sample,5
cell,2
patient,3
protein,4
health,6
drug,0
health,6
cell,2
drug,0
cell,2
cell,2
vaccine,1
protein,4
sample,5
cell,2
patient,3
patient,3
protein,4
health,6
cell,2
cell,2
protein,4
vaccine,1
drug,0
patient,3
protein,4
protein,4
protein,4
sample,5
health,6
vaccine,1
cell,2
drug,0
health,6
protein,4
health,6
protein,4
patient,3
protein,4
protein,4
protein,4
patient,3
drug,0
cell,2
cell,2
sample,5
vaccine,1
cell,2
sample,5
protein,4
cell,2
sample,5
vaccine,1
health,6
sample,5
patient,3
protein,4
protein,4
cell,2
cell,2
protein,4
vaccine,1
cell,2
protein,4
sample,5
patient,1
health,6
cell,2
cell,2
cell,3
patient,3
patient,3
sample,5
patient,2
drug,0
cell,2
sample,5
cell,2
cell,2
sample,3
health,6
health,6
drug,0
patient,3
health,6
vaccine,1
cell,2
patient,3
health,6
patient,3
sample,5
health,6
health,6
cell,2
protein,4
protein,4
patient,3
health,6
protein,4
vaccine,1
patient,3
protein,2
cell,2
patient,3
protein,4
health,6
health,6
patient,3
cell,2
health,6
sample,5
sample,5
drug,0
vaccine,6
vaccine,1
health,6
protein,1
protein,4
health,6
