topic,cluster,x,y
protein,4,12.588141,13.34647
health,6,-2.1794744,4.1524057
vaccine,1,9.945497,6.671325
protein,4,12.937587,13.225604
cell,2,14.2301,6.5230017
protein,4,11.06256,12.055092
vaccine,1,6.915251,6.2511377
patient,3,2.9731483,-0.69036674
patient,3,8.786993,-3.8562453
patient,3,6.9666805,-0.8401749
vaccine,1,9.870624,6.7345657
patient,3,8.999984,-3.6318488
vaccine,1,7.4309454,8.971796
cell,2,12.613065,2.457753
cell,2,13.026067,3.6926265
patient,4,9.19047,-3.1158834
protein,2,13.781796,8.237204
sample,5,3.6558738,3.0127943
health,6,-2.823005,4.2660832
health,6,9.041565,13.293202
vaccine,1,8.238515,6.2745996
health,6,-1.578412,2.8565645
patient,3,4.5995803,-1.6852242
protein,2,13.959743,7.6347322
patient,3,8.656511,-3.7985013
health,6,2.3037548,-0.20068908
protein,1,9.821663,9.228556
protein,4,13.38012,13.128909
vaccine,1,7.242216,6.669469
drug,0,7.6491857,11.658199
protein,4,13.34381,12.9051075
health,6,-1.9691277,3.9836502
protein,4,13.323129,13.433166
protein,4,13.463521,11.78905
drug,0,6.5165334,10.709714
health,6,-2.3565872,3.6425726
sample,5,4.7793884,2.3821092
patient,3,6.6818466,-2.0376182
sample,5,5.196495,2.0290809
cell,2,14.036098,6.8743663
protein,4,10.002523,13.0006485
cell,2,11.823345,5.493717
sample,5,4.5989556,2.5990791
protein,4,12.704914,12.469937
drug,0,7.1628256,11.696352
sample,5,5.4775724,2.1621156
health,6,-1.3037041,2.6513534
protein,4,12.82695,12.627776
sample,5,5.13897,2.0676756
vaccine,6,5.9656663,7.3948383
health,6,2.5420957,3.375814
vaccine,1,9.233395,8.614413
patient,0,11.515603,2.9591532
protein,4,12.92915,13.160018
protein,4,7.3482,3.5370548
patient,3,8.595072,-3.6586185
patient,0,7.513684,-1.6193745
drug,0,10.893611,3.9162216
vaccine,1,9.487653,8.919207
vaccine,1,6.5747194,7.57943
protein,0,8.7301035,11.658733
